"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -4.32621229993E+001, +0.00000000000E+000
+1.00544726520E+007, -4.31568793695E+001, +0.00000000000E+000
+1.01089453039E+007, -4.30732940188E+001, +0.00000000000E+000
+1.01634179559E+007, -4.29863594990E+001, +0.00000000000E+000
+1.02178906078E+007, -4.28937749607E+001, +0.00000000000E+000
+1.02723632598E+007, -4.27994945822E+001, +0.00000000000E+000
+1.03268359117E+007, -4.27136273738E+001, +0.00000000000E+000
+1.03813085637E+007, -4.26300662892E+001, +0.00000000000E+000
+1.04357812156E+007, -4.25306540702E+001, +0.00000000000E+000
+1.04902538676E+007, -4.24387588132E+001, +0.00000000000E+000
+1.05447265195E+007, -4.23622155840E+001, +0.00000000000E+000
+1.05991991715E+007, -4.22624500128E+001, +0.00000000000E+000
+1.06536718234E+007, -4.21823019024E+001, +0.00000000000E+000
+1.07081444754E+007, -4.20939110200E+001, +0.00000000000E+000
+1.07626171274E+007, -4.20093204814E+001, +0.00000000000E+000
+1.08170897793E+007, -4.19189539698E+001, +0.00000000000E+000
+1.08715624313E+007, -4.18293240268E+001, +0.00000000000E+000
+1.09260350832E+007, -4.17559871097E+001, +0.00000000000E+000
+1.09805077352E+007, -4.16648502004E+001, +0.00000000000E+000
+1.10349803871E+007, -4.15835838001E+001, +0.00000000000E+000
+1.10894530391E+007, -4.14900531992E+001, +0.00000000000E+000
+1.11439256910E+007, -4.14088901647E+001, +0.00000000000E+000
+1.11983983430E+007, -4.13319974839E+001, +0.00000000000E+000
+1.12528709949E+007, -4.12428731013E+001, +0.00000000000E+000
+1.13073436469E+007, -4.11620171671E+001, +0.00000000000E+000
+1.13618162988E+007, -4.10845509404E+001, +0.00000000000E+000
+1.14162889508E+007, -4.10081416545E+001, +0.00000000000E+000
+1.14707616028E+007, -4.09198914034E+001, +0.00000000000E+000
+1.15252342547E+007, -4.08366956141E+001, +0.00000000000E+000
+1.15797069067E+007, -4.07542633210E+001, +0.00000000000E+000
+1.16341795586E+007, -4.06779656982E+001, +0.00000000000E+000
+1.16886522106E+007, -4.05962602544E+001, +0.00000000000E+000
+1.17431248625E+007, -4.05254472491E+001, +0.00000000000E+000
+1.17975975145E+007, -4.04381315056E+001, +0.00000000000E+000
+1.18520701664E+007, -4.03623832034E+001, +0.00000000000E+000
+1.19065428184E+007, -4.02853494467E+001, +0.00000000000E+000
+1.19610154703E+007, -4.02046328265E+001, +0.00000000000E+000
+1.20154881223E+007, -4.01265387680E+001, +0.00000000000E+000
+1.20699607742E+007, -4.00457596606E+001, +0.00000000000E+000
+1.21244334262E+007, -3.99727253406E+001, +0.00000000000E+000
+1.21789060782E+007, -3.98961166997E+001, +0.00000000000E+000
+1.22333787301E+007, -3.98219715693E+001, +0.00000000000E+000
+1.22878513821E+007, -3.97393645071E+001, +0.00000000000E+000
+1.23423240340E+007, -3.96690206694E+001, +0.00000000000E+000
+1.23967966860E+007, -3.95969536162E+001, +0.00000000000E+000
+1.24512693379E+007, -3.95186443013E+001, +0.00000000000E+000
+1.25057419899E+007, -3.94312074083E+001, +0.00000000000E+000
+1.25602146418E+007, -3.93688100225E+001, +0.00000000000E+000
+1.26146872938E+007, -3.92922520514E+001, +0.00000000000E+000
+1.26691599457E+007, -3.92187240428E+001, +0.00000000000E+000
+1.27236325977E+007, -3.91407008034E+001, +0.00000000000E+000
+1.27781052496E+007, -3.90815447201E+001, +0.00000000000E+000
+1.28325779016E+007, -3.90003449160E+001, +0.00000000000E+000
+1.28870505536E+007, -3.89351692848E+001, +0.00000000000E+000
+1.29415232055E+007, -3.88559731921E+001, +0.00000000000E+000
+1.29959958575E+007, -3.87823761946E+001, +0.00000000000E+000
+1.30504685094E+007, -3.87195803888E+001, +0.00000000000E+000
+1.31049411614E+007, -3.86435021208E+001, +0.00000000000E+000
+1.31594138133E+007, -3.85695541847E+001, +0.00000000000E+000
+1.32138864653E+007, -3.85030213210E+001, +0.00000000000E+000
+1.32683591172E+007, -3.84331026115E+001, +0.00000000000E+000
+1.33228317692E+007, -3.83595501076E+001, +0.00000000000E+000
+1.33773044211E+007, -3.82903272801E+001, +0.00000000000E+000
+1.34317770731E+007, -3.82263135157E+001, +0.00000000000E+000
+1.34862497250E+007, -3.81615758680E+001, +0.00000000000E+000
+1.35407223770E+007, -3.80859934270E+001, +0.00000000000E+000
+1.35951950289E+007, -3.80185186106E+001, +0.00000000000E+000
+1.36496676809E+007, -3.79509031364E+001, +0.00000000000E+000
+1.37041403329E+007, -3.78885516999E+001, +0.00000000000E+000
+1.37586129848E+007, -3.78073952070E+001, +0.00000000000E+000
+1.38130856368E+007, -3.77450667983E+001, +0.00000000000E+000
+1.38675582887E+007, -3.76797539984E+001, +0.00000000000E+000
+1.39315680295E+007, -3.76042633493E+001, +0.00000000000E+000
+1.40072730189E+007, -3.75065303026E+001, +0.00000000000E+000
+1.40829780083E+007, -3.74094063569E+001, +0.00000000000E+000
+1.41586829977E+007, -3.73225070241E+001, +0.00000000000E+000
+1.42343879871E+007, -3.72314178321E+001, +0.00000000000E+000
+1.43100929766E+007, -3.71413799095E+001, +0.00000000000E+000
+1.43857979660E+007, -3.70586007244E+001, +0.00000000000E+000
+1.44615029554E+007, -3.69596898188E+001, +0.00000000000E+000
+1.45372079448E+007, -3.68716190000E+001, +0.00000000000E+000
+1.46129129343E+007, -3.67826489145E+001, +0.00000000000E+000
