"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -6.04611075189E+001, +0.00000000000E+000
+1.00544726520E+007, -6.04056657832E+001, +0.00000000000E+000
+1.01089453039E+007, -6.03976873346E+001, +0.00000000000E+000
+1.01634179559E+007, -6.03089486575E+001, +0.00000000000E+000
+1.02178906078E+007, -6.02624120627E+001, +0.00000000000E+000
+1.02723632598E+007, -6.01904972721E+001, +0.00000000000E+000
+1.03268359117E+007, -6.01187718350E+001, +0.00000000000E+000
+1.03813085637E+007, -6.01026006687E+001, +0.00000000000E+000
+1.04357812156E+007, -6.00773782252E+001, +0.00000000000E+000
+1.04902538676E+007, -6.00073019066E+001, +0.00000000000E+000
+1.05447265195E+007, -5.99775336774E+001, +0.00000000000E+000
+1.05991991715E+007, -5.99033918301E+001, +0.00000000000E+000
+1.06536718234E+007, -5.98648918746E+001, +0.00000000000E+000
+1.07081444754E+007, -5.98028926043E+001, +0.00000000000E+000
+1.07626171274E+007, -5.97787722779E+001, +0.00000000000E+000
+1.08170897793E+007, -5.97636034247E+001, +0.00000000000E+000
+1.08715624313E+007, -5.96956193413E+001, +0.00000000000E+000
+1.09260350832E+007, -5.96834297987E+001, +0.00000000000E+000
+1.09805077352E+007, -5.96291077616E+001, +0.00000000000E+000
+1.10349803871E+007, -5.95601222485E+001, +0.00000000000E+000
+1.10894530391E+007, -5.94843229586E+001, +0.00000000000E+000
+1.11439256910E+007, -5.94635241962E+001, +0.00000000000E+000
+1.11983983430E+007, -5.93997496533E+001, +0.00000000000E+000
+1.12528709949E+007, -5.93483091738E+001, +0.00000000000E+000
+1.13073436469E+007, -5.93198094777E+001, +0.00000000000E+000
+1.13618162988E+007, -5.92978095267E+001, +0.00000000000E+000
+1.14162889508E+007, -5.92438920760E+001, +0.00000000000E+000
+1.14707616028E+007, -5.91788722607E+001, +0.00000000000E+000
+1.15252342547E+007, -5.91756099174E+001, +0.00000000000E+000
+1.15797069067E+007, -5.90927501982E+001, +0.00000000000E+000
+1.16341795586E+007, -5.90347821156E+001, +0.00000000000E+000
+1.16886522106E+007, -5.90293314038E+001, +0.00000000000E+000
+1.17431248625E+007, -5.89233507111E+001, +0.00000000000E+000
+1.17975975145E+007, -5.89096446708E+001, +0.00000000000E+000
+1.18520701664E+007, -5.88430704181E+001, +0.00000000000E+000
+1.19065428184E+007, -5.88255433355E+001, +0.00000000000E+000
+1.19610154703E+007, -5.87873657082E+001, +0.00000000000E+000
+1.20154881223E+007, -5.87257808810E+001, +0.00000000000E+000
+1.20699607742E+007, -5.87108279159E+001, +0.00000000000E+000
+1.21244334262E+007, -5.86487575770E+001, +0.00000000000E+000
+1.21789060782E+007, -5.86164358296E+001, +0.00000000000E+000
+1.22333787301E+007, -5.85795031267E+001, +0.00000000000E+000
+1.22878513821E+007, -5.85046580849E+001, +0.00000000000E+000
+1.23423240340E+007, -5.84898003114E+001, +0.00000000000E+000
+1.23967966860E+007, -5.84555160404E+001, +0.00000000000E+000
+1.24512693379E+007, -5.84431489603E+001, +0.00000000000E+000
+1.25057419899E+007, -5.83634547123E+001, +0.00000000000E+000
+1.25602146418E+007, -5.83058469885E+001, +0.00000000000E+000
+1.26146872938E+007, -5.82803522427E+001, +0.00000000000E+000
+1.26691599457E+007, -5.82564536121E+001, +0.00000000000E+000
+1.27236325977E+007, -5.82334921574E+001, +0.00000000000E+000
+1.27781052496E+007, -5.81692630258E+001, +0.00000000000E+000
+1.28325779016E+007, -5.81261976434E+001, +0.00000000000E+000
+1.28870505536E+007, -5.80795175547E+001, +0.00000000000E+000
+1.29415232055E+007, -5.80482863593E+001, +0.00000000000E+000
+1.29959958575E+007, -5.79832950631E+001, +0.00000000000E+000
+1.30504685094E+007, -5.79293857761E+001, +0.00000000000E+000
+1.31049411614E+007, -5.79016917049E+001, +0.00000000000E+000
+1.31594138133E+007, -5.78235186096E+001, +0.00000000000E+000
+1.32138864653E+007, -5.78357144491E+001, +0.00000000000E+000
+1.32683591172E+007, -5.77807810266E+001, +0.00000000000E+000
+1.33228317692E+007, -5.77266509026E+001, +0.00000000000E+000
+1.33773044211E+007, -5.76828005009E+001, +0.00000000000E+000
+1.34317770731E+007, -5.76484542540E+001, +0.00000000000E+000
+1.34862497250E+007, -5.76114602701E+001, +0.00000000000E+000
+1.35407223770E+007, -5.75742914405E+001, +0.00000000000E+000
+1.35951950289E+007, -5.75374288418E+001, +0.00000000000E+000
+1.36496676809E+007, -5.74805795652E+001, +0.00000000000E+000
+1.37041403329E+007, -5.74874027672E+001, +0.00000000000E+000
+1.37586129848E+007, -5.74278294275E+001, +0.00000000000E+000
+1.38130856368E+007, -5.73756669391E+001, +0.00000000000E+000
+1.38675582887E+007, -5.73831020897E+001, +0.00000000000E+000
+1.39315680295E+007, -5.73073485414E+001, +0.00000000000E+000
+1.40072730189E+007, -5.72408342829E+001, +0.00000000000E+000
+1.40829780083E+007, -5.72233740601E+001, +0.00000000000E+000
+1.41586829977E+007, -5.71223945772E+001, +0.00000000000E+000
+1.42343879871E+007, -5.70745201310E+001, +0.00000000000E+000
+1.43100929766E+007, -5.70401265583E+001, +0.00000000000E+000
+1.43857979660E+007, -5.69664033977E+001, +0.00000000000E+000
+1.44615029554E+007, -5.69268749385E+001, +0.00000000000E+000
+1.45372079448E+007, -5.68931246842E+001, +0.00000000000E+000
+1.46129129343E+007, -5.68346367665E+001, +0.00000000000E+000
+1.46886179237E+007, -5.67717305472E+001, +0.00000000000E+000
+1.47643229131E+007, -5.67239859703E+001, +0.00000000000E+000
+1.48400279025E+007, -5.66732067168E+001, +0.00000000000E+000
+1.49157328920E+007, -5.66053813560E+001, +0.00000000000E+000
+1.49914378814E+007, -5.65567164154E+001, +0.00000000000E+000
+1.50671428708E+007, -5.64850416044E+001, +0.00000000000E+000
+1.51428478602E+007, -5.64669677271E+001, +0.00000000000E+000
+1.52185528497E+007, -5.64056251958E+001, +0.00000000000E+000
+1.52942578391E+007, -5.63481694443E+001, +0.00000000000E+000
+1.53699628285E+007, -5.63062020549E+001, +0.00000000000E+000
+1.54456678179E+007, -5.62260504233E+001, +0.00000000000E+000
+1.55213728073E+007, -5.61963701551E+001, +0.00000000000E+000
+1.55970777968E+007, -5.61363205098E+001, +0.00000000000E+000
+1.56727827862E+007, -5.60997253622E+001, +0.00000000000E+000
+1.57484877756E+007, -5.60760737376E+001, +0.00000000000E+000
+1.58241927650E+007, -5.59892198883E+001, +0.00000000000E+000
+1.58998977545E+007, -5.59830304428E+001, +0.00000000000E+000
+1.59756027439E+007, -5.59040064580E+001, +0.00000000000E+000
+1.60513077333E+007, -5.58513591982E+001, +0.00000000000E+000
+1.61270127227E+007, -5.58172857774E+001, +0.00000000000E+000
+1.62027177122E+007, -5.57681047329E+001, +0.00000000000E+000
+1.62784227016E+007, -5.57058822467E+001, +0.00000000000E+000
+1.63541276910E+007, -5.56611284729E+001, +0.00000000000E+000
+1.64298326804E+007, -5.56029866255E+001, +0.00000000000E+000
+1.65055376699E+007, -5.55615212322E+001, +0.00000000000E+000
+1.65812426593E+007, -5.55272903394E+001, +0.00000000000E+000
+1.66569476487E+007, -5.54808369759E+001, +0.00000000000E+000
+1.67326526381E+007, -5.54128708500E+001, +0.00000000000E+000
+1.68083576275E+007, -5.53507792882E+001, +0.00000000000E+000
+1.68840626170E+007, -5.52902125743E+001, +0.00000000000E+000
+1.69597676064E+007, -5.52861505994E+001, +0.00000000000E+000
+1.70354725958E+007, -5.52257897184E+001, +0.00000000000E+000
+1.71111775852E+007, -5.51926412732E+001, +0.00000000000E+000
+1.71868825747E+007, -5.51460244342E+001, +0.00000000000E+000
+1.72625875641E+007, -5.50988708867E+001, +0.00000000000E+000
+1.73382925535E+007, -5.50179473308E+001, +0.00000000000E+000
+1.74139975429E+007, -5.49968999409E+001, +0.00000000000E+000
+1.74897025324E+007, -5.49509833224E+001, +0.00000000000E+000
+1.75654075218E+007, -5.49039695471E+001, +0.00000000000E+000
+1.76411125112E+007, -5.48551710040E+001, +0.00000000000E+000
+1.77168175006E+007, -5.48078979727E+001, +0.00000000000E+000
+1.77925224901E+007, -5.47620455734E+001, +0.00000000000E+000
+1.78682274795E+007, -5.47051662120E+001, +0.00000000000E+000
+1.79439324689E+007, -5.46527082480E+001, +0.00000000000E+000
+1.80196374583E+007, -5.46147382254E+001, +0.00000000000E+000
+1.80953424477E+007, -5.45622669664E+001, +0.00000000000E+000
+1.81710474372E+007, -5.45447603950E+001, +0.00000000000E+000
+1.82467524266E+007, -5.44959680354E+001, +0.00000000000E+000
+1.83224574160E+007, -5.44166184648E+001, +0.00000000000E+000
+1.83981624054E+007, -5.43747376375E+001, +0.00000000000E+000
+1.84738673949E+007, -5.43386407800E+001, +0.00000000000E+000
+1.85495723843E+007, -5.42926918030E+001, +0.00000000000E+000
+1.86252773737E+007, -5.42664775897E+001, +0.00000000000E+000
+1.87009823631E+007, -5.42070373703E+001, +0.00000000000E+000
+1.87766873526E+007, -5.41642407437E+001, +0.00000000000E+000
+1.88523923420E+007, -5.41334579948E+001, +0.00000000000E+000
+1.89280973314E+007, -5.40714171769E+001, +0.00000000000E+000
+1.90038023208E+007, -5.40297147700E+001, +0.00000000000E+000
+1.90795073103E+007, -5.39808705553E+001, +0.00000000000E+000
+1.91552122997E+007, -5.39230824605E+001, +0.00000000000E+000
+1.92309172891E+007, -5.39020605121E+001, +0.00000000000E+000
+1.93196831702E+007, -5.38502081545E+001, +0.00000000000E+000
+1.94249226079E+007, -5.37916810986E+001, +0.00000000000E+000
+1.95301620456E+007, -5.37063982782E+001, +0.00000000000E+000
+1.96354014833E+007, -5.36462728380E+001, +0.00000000000E+000
+1.97406409210E+007, -5.35912552183E+001, +0.00000000000E+000
+1.98458803588E+007, -5.35432114939E+001, +0.00000000000E+000
+1.99511197965E+007, -5.34737008892E+001, +0.00000000000E+000
+2.00563592342E+007, -5.34252204339E+001, +0.00000000000E+000
+2.01615986719E+007, -5.33483867703E+001, +0.00000000000E+000
+2.02668381096E+007, -5.32708901332E+001, +0.00000000000E+000
+2.03720775474E+007, -5.32297944986E+001, +0.00000000000E+000
+2.04773169851E+007, -5.31498603936E+001, +0.00000000000E+000
+2.05825564228E+007, -5.31197334782E+001, +0.00000000000E+000
+2.06877958605E+007, -5.30375459685E+001, +0.00000000000E+000
+2.07930352982E+007, -5.29866183861E+001, +0.00000000000E+000
+2.08982747359E+007, -5.29257140920E+001, +0.00000000000E+000
+2.10035141737E+007, -5.28504517428E+001, +0.00000000000E+000
+2.11087536114E+007, -5.27821905733E+001, +0.00000000000E+000
+2.12139930491E+007, -5.27522277333E+001, +0.00000000000E+000
+2.13192324868E+007, -5.26900265124E+001, +0.00000000000E+000
+2.14244719245E+007, -5.26371194764E+001, +0.00000000000E+000
+2.15297113623E+007, -5.25592352253E+001, +0.00000000000E+000
+2.16349508000E+007, -5.25194360352E+001, +0.00000000000E+000
+2.17401902377E+007, -5.24605015732E+001, +0.00000000000E+000
+2.18454296754E+007, -5.23834985764E+001, +0.00000000000E+000
+2.19506691131E+007, -5.23168744412E+001, +0.00000000000E+000
+2.20559085509E+007, -5.22691347486E+001, +0.00000000000E+000
+2.21611479886E+007, -5.22247865157E+001, +0.00000000000E+000
+2.22663874263E+007, -5.21627537294E+001, +0.00000000000E+000
+2.23716268640E+007, -5.21108766345E+001, +0.00000000000E+000
+2.24768663017E+007, -5.20455029022E+001, +0.00000000000E+000
+2.25821057394E+007, -5.19816357229E+001, +0.00000000000E+000
+2.26873451772E+007, -5.19365417497E+001, +0.00000000000E+000
+2.27925846149E+007, -5.18671749113E+001, +0.00000000000E+000
+2.28978240526E+007, -5.18177270115E+001, +0.00000000000E+000
+2.30030634903E+007, -5.17576245080E+001, +0.00000000000E+000
+2.31083029280E+007, -5.17012414882E+001, +0.00000000000E+000
+2.32135423658E+007, -5.16358540868E+001, +0.00000000000E+000
+2.33187818035E+007, -5.15892348446E+001, +0.00000000000E+000
+2.34240212412E+007, -5.15218554549E+001, +0.00000000000E+000
+2.35292606789E+007, -5.14582376196E+001, +0.00000000000E+000
+2.36345001166E+007, -5.14045602322E+001, +0.00000000000E+000
+2.37397395544E+007, -5.13619370981E+001, +0.00000000000E+000
+2.38449789921E+007, -5.12845868700E+001, +0.00000000000E+000
+2.39502184298E+007, -5.12421971958E+001, +0.00000000000E+000
+2.40554578675E+007, -5.11887094369E+001, +0.00000000000E+000
+2.41606973052E+007, -5.11413726520E+001, +0.00000000000E+000
+2.42659367429E+007, -5.10778239744E+001, +0.00000000000E+000
+2.43711761807E+007, -5.10134655830E+001, +0.00000000000E+000
+2.44764156184E+007, -5.09715056336E+001, +0.00000000000E+000
+2.45816550561E+007, -5.09109067402E+001, +0.00000000000E+000
+2.46868944938E+007, -5.08672352959E+001, +0.00000000000E+000
+2.47921339315E+007, -5.07978416606E+001, +0.00000000000E+000
+2.48973733693E+007, -5.07354520600E+001, +0.00000000000E+000
+2.50026128070E+007, -5.06772967152E+001, +0.00000000000E+000
+2.51078522447E+007, -5.06307554548E+001, +0.00000000000E+000
+2.52130916824E+007, -5.05842871391E+001, +0.00000000000E+000
+2.53183311201E+007, -5.05243397226E+001, +0.00000000000E+000
+2.54235705578E+007, -5.04652632591E+001, +0.00000000000E+000
+2.55288099956E+007, -5.03925272378E+001, +0.00000000000E+000
